STFIPS,STNAME,Date,Stay_at_home,Enforcement,FEMA,Num_Trips,Num_Work,Num_Non_Work,Num_Out_of_county,TPMT,ANum_Trips,ANum_Work,ANum_Non_Work,APMT,Cases,Sum_Cases,Adj_Cases,Adj_Sum_Cases,Week,Is_Weekend,Time_Index,Approval,Population,date,National_Cases
25,MA,2020-02-01,0,0,0,76.14257504,7.701778561,68.44079647999999,28.117847249999997,412.26970730000005,0.1103172,0.011158523,0.09915867699999999,0.597306299,0.001,0.001,0.0,0.0,5,1,0,0.73,690.2148988553008,02/01/2020,0.001
26,MI,2020-02-01,0,0,0,310.00874439999996,12.78316076,297.22558369999996,204.2706185,5590.685243,0.310135435,0.012788385,0.29734705,5.592969972000001,0.0,0.0,0.0,0.0,5,1,0,0.46,999.5914991139273,02/01/2020,0.001
27,MN,2020-02-01,0,0,0,206.5339178,8.895822116,197.63809569999998,126.84744939999999,3582.117471,0.368075796,0.015853749,0.35222204799999995,6.3838944920000005,0.0,0.0,0.0,0.0,5,1,0,0.51,561.1179002924713,02/01/2020,0.001
28,MS,2020-02-01,0,0,0,109.11674550000001,10.21874175,98.89800372,66.89346369,1793.1532969999998,0.365362965,0.034216103,0.331146862,6.004136227999999,0.0,0.0,0.0,0.0,5,1,0,0.55,298.6529997642208,02/01/2020,0.001
29,MO,2020-02-01,0,0,0,276.5205714,18.645751569999998,257.8748198,145.48679740000003,3616.632599,0.451355159,0.030434827999999997,0.42092033,5.903306839,0.0,0.0,0.0,0.0,5,1,0,0.48,612.645199431519,02/01/2020,0.001
30,MT,2020-02-01,0,0,0,22.31632359,1.6895051589999999,20.62681844,3.820069315,-40.9174974,0.210074542,0.015904144,0.194170398,-0.385176549,0.0,0.0,0.0,0.0,5,1,0,0.53,106.230499790879,02/01/2020,0.001
31,NE,2020-02-01,0,0,0,70.60251136000001,5.688166007,64.91434534999999,29.90478086,594.8181635,0.36595491799999996,0.029483545,0.33647137299999996,3.0831287489999997,0.0,0.0,0.0,0.0,5,1,0,0.54,192.9268002349951,02/01/2020,0.001
32,NV,2020-02-01,0,0,0,51.00556536,3.9234072960000006,47.08215806,2.326090482,-556.8533160000001,0.16809155,0.012929797,0.155161753,-1.835139679,0.0,0.0,0.0,0.0,5,1,0,0.52,303.439199412463,02/01/2020,0.001
33,NH,2020-02-01,0,0,0,21.625764899999997,2.27241744,19.35334746,14.27732438,277.857683,0.159428194,0.016752582,0.142675611,2.048406091,0.0,0.0,0.0,0.0,5,1,0,0.62,135.64579988907104,02/01/2020,0.001
34,NJ,2020-02-01,0,0,0,210.1571503,9.398010133,200.7591402,134.7118827,1767.7321309999998,0.23590579600000003,0.010549463,0.22535633300000002,1.9843162840000002,0.0,0.0,0.0,0.0,5,1,0,0.45,890.8520005163416,02/01/2020,0.001
35,NM,2020-02-01,0,0,0,46.45173,1.612844599,44.8388854,4.450285577,182.9389316,0.221681346,0.00769697,0.213984376,0.8730384990000001,0.0,0.0,0.0,0.0,5,1,0,0.47,209.54280023182463,02/01/2020,0.001
36,NY,2020-02-01,0,0,0,432.3802592,28.74568568,403.6345735,204.10718359999998,2029.6317420000003,0.221254547,0.014709538000000001,0.20654500899999997,1.0385886990000002,0.0,0.0,0.0,0.0,5,1,0,0.48,1954.2208965314508,02/01/2020,0.001
37,NC,2020-02-01,0,0,0,146.1805543,12.00461609,134.17593829999998,53.70708136,625.5448271,0.140779954,0.011561108999999998,0.129218845,0.602434245,0.0,0.0,0.0,0.0,5,1,0,0.48,1038.3619979020593,02/01/2020,0.001
38,ND,2020-02-01,0,0,0,35.86402449,2.05140568,33.812618810000004,20.16315586,824.2695476,0.471847254,0.026989446,0.44485780799999997,10.84455322,0.0,0.0,0.0,0.0,5,1,0,0.58,76.00769991977107,02/01/2020,0.001
39,OH,2020-02-01,0,0,0,243.81834500000002,14.335583929999999,229.4827611,124.7145763,2832.539362,0.20857996899999998,0.012263703,0.196316267,2.423160457,0.0,0.0,0.0,0.0,5,1,0,0.48,1168.9442000060899,02/01/2020,0.001
40,OK(N),2020-02-01,0,0,0,169.61716669999998,9.49888518,160.1182815,69.50166788,1493.725322,0.430164262,0.02409002,0.40607424200000003,3.788220631,0.0,0.0,0.0,0.0,5,1,0,59.0,394.3078997576046,02/01/2020,0.001
41,OR,2020-02-01,0,0,0,56.564105819999995,2.7436606510000003,53.82044517,11.86336534,1263.612774,0.134974898,0.006547002,0.12842789599999999,3.015269177,0.0,0.0,0.0,0.0,5,1,0,0.38,419.07129887217985,02/01/2020,0.001
42,PA,2020-02-01,0,0,0,333.1324728,17.45296114,315.67951170000003,182.8827087,4491.025036,0.260116274,0.013627608999999999,0.246488665,3.5066791569999998,0.0,0.0,0.0,0.0,5,1,0,0.53,1280.7059999636933,02/01/2020,0.001
44,RI,2020-02-01,0,0,0,18.22446265,2.521535212,15.70292744,6.977947416,75.5215243,0.172365498,0.023848477000000003,0.148517021,0.7142764859999999,0.0,0.0,0.0,0.0,5,1,0,0.36,105.7314999896325,02/01/2020,0.001
45,SC,2020-02-01,0,0,0,70.98945009,5.15044381,65.83900627999999,26.12547782,57.57767667,0.139629577,0.010130439,0.129499138,0.113249879,0.0,0.0,0.0,0.0,5,1,0,0.54,508.41269890834093,02/01/2020,0.001
46,SD,2020-02-01,0,0,0,42.68178648,4.232625051,38.449161430000004,29.84021073,560.2817714,0.48379158,0.047976162999999995,0.43581541700000004,6.350708954,0.0,0.0,0.0,0.0,5,1,0,0.48,88.22350004520541,02/01/2020,0.001
47,TN,2020-02-01,0,0,0,182.62795730000002,11.74417518,170.8837821,79.53277492,1813.059817,0.269760247,0.017347353,0.252412895,2.678075537,0.0,0.0,0.0,0.0,5,1,0,0.56,677.0010011890299,02/01/2020,0.001
48,TX,2020-02-01,0,0,0,804.4777687000001,49.16207497,755.3156937000001,179.6810812,2740.1823600000002,0.28028782399999996,0.017128542,0.263159283,0.9547059990000001,0.0,0.0,0.0,0.0,5,1,0,0.59,2870.1845025562016,02/01/2020,0.001
49,UT(N),2020-02-01,0,0,0,72.7218199,4.421201109,68.30061879,13.07154485,561.7392848999999,0.230051896,0.013986252,0.21606564399999997,1.777034565,0.0,0.0,0.0,0.0,5,1,0,55.0,316.11050012819715,02/01/2020,0.001
50,VT,2020-02-01,0,0,0,10.19638643,1.185592787,9.010793646,8.525422022,504.60804440000004,0.162803811,0.01893014,0.143873671,8.056983076,0.0,0.0,0.0,0.0,5,1,0,0.64,62.62990016861461,02/01/2020,0.001
51,VA,2020-02-01,0,0,0,156.1810183,13.70524222,142.4757761,108.16316370000001,233.3666403,0.183360876,0.016090337,0.167270539,0.273978951,0.0,0.0,0.0,0.0,5,1,0,0.42,851.768499949793,02/01/2020,0.001
53,WA,2020-02-01,0,0,0,125.1407331,6.628446804999999,118.51228629999999,13.08137934,2146.61988,0.166066249,0.008796186999999999,0.157270062,2.8486417060000004,0.0,0.0,0.0,0.0,5,1,0,0.47,753.559099778306,02/01/2020,0.001
54,WV,2020-02-01,0,0,0,23.28720272,2.5563545469999998,20.73084817,18.19415288,407.1584012,0.128955533,0.014156104,0.11479942900000001,2.254685935,0.0,0.0,0.0,0.0,5,1,0,0.42,180.58319932654612,02/01/2020,0.001
55,WI,2020-02-01,0,0,0,198.7658969,6.0424864860000005,192.7234104,157.596348,4802.512268,0.34190001200000003,0.010393766,0.331506246,8.260868829,0.0,0.0,0.0,0.0,5,1,0,0.49,581.3568000108756,02/01/2020,0.001
56,WY,2020-02-01,0,0,0,9.663251909,1.212912271,8.450339637999999,-0.7038668933,15.84437844,0.167260395,0.020994194,0.14626620099999998,0.274248982,0.0,0.0,0.0,0.0,5,1,0,0.63,57.773700157768964,02/01/2020,0.001
1,AL,2020-02-02,0,0,0,73.70418384,6.468206254,67.23597758,8.772017509000001,53.79012256,0.150789953,0.013233176999999999,0.137556776,0.110048163,0.0,0.0,0.0,0.0,6,1,1,0.57,488.7871000264852,02/02/2020,0.0
2,AK,2020-02-02,0,0,0,-4.87002937,-0.5190889627999999,-4.3509404069999995,-0.6887690422,-62.49343313,-0.066039848,-0.007039086,-0.059000762000000005,-0.847439827,0.0,0.0,0.0,0.0,6,1,1,0.43,73.74380040971627,02/02/2020,0.0
4,AZ,2020-02-02,0,0,0,-11.93950373,4.177058375,-16.1165621,-33.1607226,-2212.41297,-0.016648206000000002,0.005824406999999999,-0.022472612000000003,-3.084944475,0.0,0.001,0.0,0.0,6,1,1,0.52,717.1645839797993,02/02/2020,0.0
5,AR,2020-02-02,0,0,0,72.73681222,5.0740983889999995,67.66271383,10.627349109999999,-304.9025954,0.241343848,0.016836075,0.224507773,-1.011679827,0.0,0.0,0.0,0.0,6,1,1,0.59,301.3824997934068,02/02/2020,0.0
6,CA,2020-02-02,0,0,0,-220.39675330000003,-7.931996602000001,-212.46475669999998,-159.3981761,-12233.90368,-0.055716182,-0.002005205,-0.053710978,-3.092724362,0.0,0.003,0.0,0.0,6,1,1,0.43,3955.7045258413436,02/02/2020,0.0
8,CO,2020-02-02,0,0,0,77.12398474,4.967691882,72.15629286,-4.24059118,-1509.8351890000001,0.135410619,0.008722037,0.126688582,-2.650896714,0.0,0.0,0.0,0.0,6,1,1,0.46,569.556400447442,02/02/2020,0.0
9,CT,2020-02-02,0,0,0,32.250997600000005,2.6925757260000003,29.558421879999997,-5.026588031999999,-517.6677675,0.090271541,0.007536603,0.082734938,-1.4489681159999999,0.0,0.0,0.0,0.001,6,1,1,0.35,357.26650107811946,02/02/2020,0.0
10,DE,2020-02-02,0,0,0,8.30478766,0.522773816,7.782013844,-3.0976293430000004,-37.63368852,0.08586679800000001,0.005405185,0.080461613,-0.389111011,0.0,0.0,0.0,0.0,6,1,1,0.55,96.7170996640634,02/02/2020,0.0
11,DC,2020-02-02,0,0,0,6.068716711,-0.038126552339999994,6.106843262999999,-1.212666072,-36.13385934,0.08639296099999999,-0.000542761,0.08693572199999999,-0.514393938,0.0,0.0,0.0,0.0,6,1,1,,70.24549964203682,02/02/2020,0.0
12,FL,2020-02-02,0,0,0,152.85533590000003,39.937030709999995,112.91830520000002,-64.07923368,-4072.9618969999997,0.071765343,0.018750374,0.053014969,-1.9122492830000002,0.0,0.0,0.0,0.0,6,1,1,0.58,2129.9324926239124,02/02/2020,0.0
13,GA,2020-02-02,0,0,0,166.4181961,12.714847070000001,153.7033491,28.0754598,-457.36272829999996,0.15820009699999998,0.01208696,0.146113137,-0.434777143,0.0,0.0,0.0,0.0,6,1,1,0.53,1051.947497225618,02/02/2020,0.0
15,HI,2020-02-02,0,0,0,-25.1099727,-1.9581129659999998,-23.15185974,-0.8032858434999999,-1209.07865,-0.17676967100000002,-0.013784761999999999,-0.16298491,-8.511695255,0.0,0.0,0.0,0.0,6,1,1,0.36,142.04910015361173,02/02/2020,0.0
16,ID,2020-02-02,0,0,0,2.346168357,-0.1549194405,2.501087797,1.882000086,-102.4852352,0.013374516000000001,-0.00088313,0.014257647,-0.5842251039999999,0.0,0.0,0.0,0.0,6,1,1,0.59,175.42080453602952,02/02/2020,0.0
17,IL,2020-02-02,0,0,0,332.8836483,10.597760880000001,322.2858874,46.76281177,288.1576677,0.261267999,0.008317789,0.25295021100000004,0.22616424,0.0,0.002,0.0,0.0,6,1,1,0.43,1274.1080024117307,02/02/2020,0.0
18,IN,2020-02-02,0,0,0,177.9221437,10.85946044,167.06268319999998,37.901996399999994,242.1242902,0.265877746,0.016227822,0.249649924,0.36181814799999995,0.0,0.0,0.0,0.0,6,1,1,0.51,669.1877991924904,02/02/2020,0.0
19,IA,2020-02-02,0,0,0,72.50221149000001,6.527280494999999,65.97493099,17.44902784,375.1215423,0.22971761899999998,0.020681181,0.20903643800000002,1.188543436,0.0,0.0,0.0,0.0,6,1,1,0.45,315.6145001224308,02/02/2020,0.0
20,KS,2020-02-02,0,0,0,81.99486834,5.302777096,76.69209124,9.289355619,-939.3227177000001,0.281623656,0.018213181999999998,0.263410474,-3.2262445630000003,0.0,0.0,0.0,0.0,6,1,1,0.52,291.1505002974608,02/02/2020,0.0
21,KY,2020-02-02,0,0,0,93.98306137,8.49425791,85.48880346,17.27562555,298.6716684,0.210328125,0.01900961,0.191318515,0.668408233,0.0,0.0,0.0,0.0,6,1,1,0.34,446.84019966421516,02/02/2020,0.0
22,LA,2020-02-02,0,0,0,108.6545132,11.03679534,97.61771784,5.069640452,-376.7064894,0.233165292,0.023684222,0.20948107,-0.8083868409999999,0.0,0.0,0.0,0.0,6,1,1,0.52,465.9978003930362,02/02/2020,0.0
23,ME,2020-02-02,0,0,0,27.83923818,1.652078902,26.187159280000003,17.029468530000003,1008.548,0.20800325,0.012343648999999998,0.19565960100000002,7.535452677,0.0,0.0,0.0,0.0,6,1,1,0.46,133.84039999375008,02/02/2020,0.0
24,MD,2020-02-02,0,0,0,35.67748769,1.108272551,34.56921514,-20.31662212,-1326.284617,0.059042119000000004,0.001834063,0.05720805599999999,-2.194847776,0.0,0.0,0.0,0.0,6,1,1,0.7,604.2718028124973,02/02/2020,0.0
25,MA,2020-02-02,0,0,0,36.638569059999995,4.5167447460000005,32.12182432,-13.31648837,-934.4984835000001,0.053082843,0.006543969,0.046538874,-1.35392395,0.0,0.001,0.0,0.0,6,1,1,0.73,690.2148978719922,02/02/2020,0.0
26,MI,2020-02-02,0,0,0,254.14828030000004,12.28605863,241.8622216,88.58281754,1627.4218759999999,0.254252142,0.01229108,0.241961063,1.62808695,0.0,0.0,0.0,0.0,6,1,1,0.46,999.5915011799586,02/02/2020,0.0
27,MN,2020-02-02,0,0,0,106.919836,1.562506559,105.3573294,26.3041446,243.39595669999997,0.190547897,0.0027846309999999997,0.187763266,0.43376972399999997,0.0,0.0,0.0,0.0,6,1,1,0.51,561.1179009758371,02/02/2020,0.0
28,MS,2020-02-02,0,0,0,58.23303989,8.389248818,49.84379108,1.907692672,-114.38898449999999,0.194985618,0.028090287999999998,0.16689533,-0.383016359,0.0,0.0,0.0,0.0,6,1,1,0.55,298.6530006023316,02/02/2020,0.0
29,MO,2020-02-02,0,0,0,195.79444819999998,12.16165406,183.63279409999998,36.16918846,-6.408219975,0.319588643,0.019851056000000002,0.29973758699999997,-0.01045992,0.0,0.0,0.0,0.0,6,1,1,0.48,612.6452002864194,02/02/2020,0.0
30,MT,2020-02-02,0,0,0,-2.3850808530000003,0.1627782786,-2.547859131,-6.673198263,-284.3943217,-0.02245194,0.001532312,-0.023984252,-2.677143775,0.0,0.0,0.0,0.0,6,1,1,0.53,106.2305018185511,02/02/2020,0.0
31,NE,2020-02-02,0,0,0,56.24223702,5.253542453000001,50.98869456,7.5649984120000004,-253.08844580000002,0.291521121,0.027230755,0.264290366,-1.311836644,0.0,0.0,0.0,0.0,6,1,1,0.54,192.9268000447899,02/02/2020,0.0
